,true,estimate,cluster_se,t_stat
gamma_age,0.1,0.09850343654283637,0.0013798907813573837,71.38495152923596
gamma_female,0.24,0.24009557225967804,0.003194710482868341,75.15409410248357
gamma_f_col,0.4,0.3983991755265229,0.004466082147786535,89.20551891862897
lambda,0.25,0.25170428816954954,0.007589020911306378,33.166898749027304
beta,10.0,9.359368436992057,1.1070132758911062,8.45461264180242
delta,0.85,0.8486271176033366,0.009135103271133352,92.89737536793618
lambda_1,0.10000000000000009,0.10033140577288613,0.011592236642187385,8.655051554740707
lambda_2,0.15000000000000002,0.15137288239666336,0.009135103271133352,16.570462084976867
