,true,estimate,cluster_se,t_stat
gamma_age,0.1,0.12049487809526462,0.008413265334767873,14.322010931631832
gamma_female,0.24,0.20540766056624782,0.02553804937026361,8.043200856421851
gamma_f_col,0.4,0.37399252319297027,0.026842957790103494,13.932612274600173
lambda,0.25,0.25794213609427846,0.07710466130621088,3.345350744358965
beta,10.0,1.7305041183598038,9.553754221478842,0.18113341396927166
delta,0.85,0.8298296591924579,0.07640011861074487,10.861627891186952
lambda_1,0.10000000000000009,0.08777179528673629,0.10561287465576642,0.8310709804350921
lambda_2,0.15000000000000002,0.17017034080754212,0.07640011861074487,2.2273570238097697
